arterycode,direction,sideofint,centreline_id
3926,Eastbound,E,1146011
3926,Westbound,E,1146011
3926,Northbound,S,14015865
3926,Southbound,S,14015865
3926,Eastbound,W,8265330
3926,Westbound,W,8265330
3943,Eastbound,E,14253384
3943,Westbound,E,14253384
3943,Northbound,N,8594395
3943,Southbound,N,8594395
3943,Northbound,S,654
3943,Southbound,S,654
3943,Eastbound,W,20042173
3943,Westbound,W,20042173
3950,Eastbound,E,14666456
3950,Westbound,E,14666456
3950,Northbound,N,111733
3950,Southbound,N,111733
3950,Northbound,S,2016044
3950,Southbound,S,2016044
3950,Eastbound,W,111762
3950,Westbound,W,111762
3953,Eastbound,E,20112785
3953,Westbound,E,20112785
3953,Northbound,N,8100562
3953,Southbound,N,8100562
3953,Northbound,S,108335
3953,Southbound,S,108335
3953,Eastbound,W,108297
3953,Westbound,W,108297
3959,Eastbound,E,10368089
3959,Westbound,E,10368089
3959,Northbound,N,440178
3959,Southbound,N,440178
3959,Northbound,S,10459275
3959,Southbound,S,10459275
3959,Eastbound,W,10459142
3959,Westbound,W,10459142
3969,Eastbound,E,907386
3969,Westbound,E,907386
3969,Northbound,N,907387
3969,Southbound,N,907390
3969,Northbound,S,30001195
3969,Southbound,S,30001198
3969,Eastbound,W,20232385
3969,Westbound,W,20232385
3974,Eastbound,E,5625788
3974,Westbound,E,5625788
3974,Northbound,N,446662
3974,Southbound,N,446662
3974,Northbound,S,446666
3974,Southbound,S,446666
3974,Eastbound,W,446662
3974,Westbound,W,446662
4034,Northbound,N,2215085
4034,Southbound,N,2215085
4034,Northbound,S,1143578
4034,Southbound,S,1143578
4034,Eastbound,W,14014007
4034,Westbound,W,14014007
4197,Westbound,E,6341291
4197,Southbound,N,6341247
4197,Westbound,W,1142935
4243,Westbound,E,2633805
4243,Northbound,N,8536083
4243,Southbound,N,8536083
4243,Northbound,S,7753909
4243,Southbound,S,7753909
4243,Westbound,W,20054199
4342,Eastbound,E,2633805
4342,Northbound,N,441328
4342,Southbound,N,441328
4342,Northbound,S,441373
4342,Southbound,S,441373
4342,Eastbound,W,11541970
4342,Westbound,W,11541970
4414,Eastbound,E,444763
4414,Westbound,E,444763
4414,Northbound,N,8649749
4414,Southbound,N,8649749
4414,Northbound,S,444999
4414,Southbound,S,444999
4414,Eastbound,W,8609194
4414,Westbound,W,8609194
4440,Eastbound,E,14677598
4440,Westbound,E,14677598
4440,Northbound,S,906673
4440,Southbound,S,906673
4455,Eastbound,E,112953
4455,Westbound,E,112953
4455,Northbound,N,112954
4455,Southbound,N,112954
4455,Northbound,S,112988
4455,Southbound,S,112988
4455,Eastbound,W,112964
4455,Westbound,W,112964
4571,Eastbound,E,14254832
4571,Westbound,E,14254832
4571,Northbound,N,14254832
4571,Southbound,N,14254832
4571,Northbound,S,841
4571,Southbound,S,841
4571,Eastbound,W,791
4571,Westbound,W,791
4585,Northbound,N,1140207
4585,Southbound,N,1140207
4585,Northbound,S,10663886
4585,Southbound,S,10663886
4691,Northbound,N,13971323
4691,Southbound,N,13971323
4691,Eastbound,W,13971323
4691,Westbound,W,13971323
4720,Eastbound,E,8677049
4720,Westbound,E,8677049
4720,Northbound,N,30016129
4720,Southbound,N,30016129
4720,Northbound,S,8680975
4720,Southbound,S,8680975
4720,Eastbound,W,432
4720,Westbound,W,432
4721,Eastbound,E,825
4721,Westbound,E,825
4721,Northbound,N,821
4721,Southbound,N,821
4721,Northbound,S,14072860
4721,Southbound,S,14072860
4721,Eastbound,W,820
4721,Westbound,W,820
4738,Eastbound,E,9950387
4738,Westbound,E,9950387
4738,Northbound,N,9950387
4738,Southbound,N,9950387
4786,Eastbound,E,106859
4786,Westbound,E,106859
4786,Northbound,N,4940118
4786,Southbound,N,4940118
4786,Northbound,S,30001937
4786,Southbound,S,30001937
4786,Eastbound,W,106814
4786,Westbound,W,106814
4796,Eastbound,E,1140726
4796,Westbound,E,1140726
4796,Northbound,N,7992364
4796,Southbound,N,7992364
4796,Northbound,S,1140925
4796,Southbound,S,1140925
4796,Eastbound,W,1140728
4796,Westbound,W,1140728
4810,Eastbound,E,7348642
4810,Westbound,E,7348642
4810,Northbound,N,30011819
4810,Southbound,N,30011819
4810,Northbound,S,111671
4810,Southbound,S,111671
4810,Eastbound,W,111648
4810,Westbound,W,111648
4867,Northbound,N,1143833
4867,Southbound,N,1143833
4867,Northbound,S,30039399
4867,Southbound,S,30039399
4867,Eastbound,W,14014042
4867,Westbound,W,14014042
4875,Eastbound,E,2884176
4875,Westbound,E,2884176
4875,Northbound,N,2884227
4875,Southbound,N,2884227
4875,Northbound,S,8754471
4875,Southbound,S,8754471
4875,Eastbound,W,112092
4875,Westbound,W,112092
4962,Eastbound,E,8680749
4962,Westbound,E,8680749
4962,Northbound,N,736
4962,Southbound,N,736
4962,Northbound,S,851
4962,Southbound,S,851
4962,Eastbound,W,14253406
4962,Westbound,W,14253406
5201,Eastbound,E,8761
5201,Westbound,E,8761
5201,Northbound,N,8755
5201,Southbound,N,8755
5201,Northbound,S,20113015
5201,Southbound,S,20113015
5201,Eastbound,W,10367368
5201,Westbound,W,10367368
5202,Eastbound,E,7878
5202,Westbound,E,7878
5202,Northbound,N,7829
5202,Southbound,N,7829
5202,Northbound,S,8028
5202,Southbound,S,8028
5202,Eastbound,W,7206707
5202,Westbound,W,7206707
5364,Eastbound,E,7968
5364,Westbound,E,7968
5364,Northbound,N,2302332
5364,Southbound,N,2302332
5364,Northbound,S,10706173
5364,Southbound,S,10706173
5364,Eastbound,W,7932
5364,Westbound,W,7932
5373,Eastbound,E,20080626
5373,Westbound,E,20080601
5373,Northbound,N,20080593
5373,Southbound,N,20080593
5373,Northbound,S,20080622
5373,Southbound,S,20080622
5462,Eastbound,E,914146
5462,Westbound,E,914146
5462,Northbound,N,30073849
5462,Southbound,N,30073849
5462,Northbound,S,914190
5462,Southbound,S,914285
5513,Eastbound,E,437883
5513,Westbound,E,437881
5513,Northbound,N,437882
5513,Southbound,N,437882
5513,Northbound,S,438089
5513,Southbound,S,438089
5559,Northbound,N,913102
5559,Southbound,N,913102
5559,Northbound,S,30069697
5559,Southbound,S,30069697
5559,Westbound,W,30069694
5573,Eastbound,E,436101
5573,Westbound,E,436101
5573,Northbound,S,436232
5573,Southbound,S,436109
5573,Eastbound,W,14304237
5573,Westbound,W,14304237
5590,Eastbound,E,3484504
5590,Westbound,E,3484504
5590,Northbound,N,3484504
5590,Southbound,N,3484504
5590,Northbound,S,110413
5590,Southbound,S,110413
5590,Eastbound,W,110384
5590,Westbound,W,110384
5605,Northbound,N,112813
5605,Southbound,N,112813
5605,Northbound,S,112861
5605,Southbound,S,112861
5610,Eastbound,E,9848317
5610,Westbound,E,9848317
5610,Northbound,N,8089
5610,Southbound,N,8089
5610,Northbound,S,8175
5610,Southbound,S,8175
5610,Eastbound,W,8090
5610,Westbound,W,8090
5625,Eastbound,E,30076890
5625,Westbound,E,30076890
5625,Northbound,N,1146606
5625,Southbound,N,1146606
5625,Northbound,S,7617736
5625,Southbound,S,7617736
5625,Eastbound,W,7617692
5625,Westbound,W,7617692
5655,Eastbound,E,111053
5655,Westbound,E,111053
5655,Northbound,N,111054
5655,Southbound,N,111054
5655,Northbound,S,111097
5655,Southbound,S,111097
5655,Eastbound,W,111123
5655,Westbound,W,111123
5688,Northbound,N,14018242
5688,Southbound,N,14018242
5688,Eastbound,W,14039234
